"HolderAddress","PrivateTag","Balance","PendingBalanceUpdate"
"0x23d7872038f8e7d52923fa6a33f6084a410e325f","-","9.897036071725733426","No"
"0x49642a36b1cffb33efc59e3204e89b95d3f484dd","-","9.889492789099745488","No"
"0x96e1084005274ab7cc8a5661d0eb453e880d246f","-","9.823635771185892959","No"
"0x155031707652991c135b7cce61bc7e3dc390e061","-","9.818756657238882708","No"
"0x3f8ebfe343c690b657e8c153a9f9589f4733a1c1","-","9.6972342371986599","No"
"0x7da60b5d54805ab4b1e59c93effae309893f8176","-","9.672299740080608584","No"
"0x25a23587628bca6997f4cea4b95aca1938a58bde","-","9.658572947175259941","No"
"0xd9b72aee969312f0126a0caa11fbd2e310e77e47","-","9.616990451731436217","No"
"0x8f65a23dee2b18f1d0f210d19135579ddb588417","-","9.557109923","No"
"0x760fe2165ff83c072cdb6145cfe3be9b35a6303b","-","9.551718848960092246","No"
"0xff65c429ec79b6fead625793cc2c11966cd82350","-","9.508163770721964149","No"
"0x755013a759c6c56d95b687ef4b2b9864f3654e60","-","9.47","No"
"0xda4c69826b9a7503c472cf4732cad1e00b7627ea","-","9.427303287464357139","No"
"0x77876d68d126091a7026e312085d19f29acbcd67","-","9.377043568004443849","No"
"0xd057a4b2e28fce1256b22fa661ed27d70ecfe78a","-","9.347753140754625288","No"
"0x5e3f1036220308d65403e94959f8f38623cb7e2e","-","9.302125396742435777","No"
"0xed7fd2eef1b47a845dd85ccf3a535943cd8df62c","-","9.302125396742435777","No"
"0x17054508586c979f288dd5d141386dfa241b9370","-","9.26621525808880836","No"
"0xc7b87b56a4a739579b814791dd24eefb95a2baea","-","9.26621525808880836","No"
"0x29e994650b443b54202cdadc4e8ddc657125e32e","-","9.260581119181907055","No"
"0xa3de14c53e8da6bb2c7725780f11a964bd7c67e7","-","9.243747872779385297","No"
"0x1889339e74263c36f49f9cc1c42f1ff2bfd3c94e","-","9.069941054139238275","No"
"0xefdf473c7c0dd05566478da8fa104ddebd451861","-","9.006807302027517381","No"
"0xc3e497ab2958946bd715a6862052876a68dd3110","-","8.987906486406116355","No"
"0xed0c6079229e2d407672a117c22b62064f4a4312","-","8.931724021469837715","No"
"0x4ae21d350485abf56ae6488c172237dea4c3cd22","-","8.726506531623327322","No"
"0x1f70ab7a96554f0cc1f6a4c57f2b244e8cba2f92","-","8.368520184209055833","No"
"0xeb3f06073b51cd000fa421ed28d1da47ce0d52cf","-","8.110955248067814548","No"
"0x3c6e5ef865568ca7aaf7d1bdbfde03e7be4da495","-","8.012869552832299406","No"
"0x656b0b81ead8d80bfea74faaedb51bb6c08f3365","-","8.000056105734311332","No"
"0xcaba71d89e6d6ae130ea2b1e353514765a2266e5","-","7.959221902952527465","No"
"0xe17037a1a6ea2b4bdd84e2f56e752518877fe107","-","7.929263157431061593","No"
"0x9f49eeb226b627d69670093215db26991882f915","-","7.873659316881061147","No"
"0xcb212e0dd48415ab0f32679eb8fd9ea78982cbc8","-","7.854533936445633372","No"
"0x4042b132d751272c8b7e801ec45eaf4595a58c24","-","7.768218875099797567","No"
"0x3c12d767514c3de2c86e2a4ee55bae31b8f30522","-","7.74059219773654928","No"
"0x185de785b4003ccb207ee0d930724221b2413b63","-","7.715976234031915982","No"
"0xae1c1b429cf771e84df7fdbe1cee1ca1531d401a","-","7.658828499792126655","No"
"0x84a086576f7af644034e53f084a9a97917d0439f","-","7.647120084111064047","No"
"0x0c694c30b10501bf33e5a9097bec65b3e9e0430b","-","7.569203381300557508","No"
"0x2702ca6f4695153eb7c7c6d1a424c37f02e042ff","-","7.527156438140218371","No"
"0x74a4ab264733635c85fb0790d9b9db754ad86510","-","7.471349644088148679","No"
"0x107c5f766c21a73e1ed54492c8c311debcc1f1a9","-","7.437388492112531329","No"
"0x58ce48082b653ee46c3763bf71d94c2ddc59450d","-","7.172436127210057265","No"
"0x7719413dbf5f27f8e2696b660f35b7342505e0dc","-","7.158189121011057092","No"
"0xa6a9eb29e786b5233bd99c0ba28be882fe954a0e","-","7.156961950343940971","No"
"0x5e2044c2b5eb57b17ce382c1856a1de3166c460a","-","7.155354926250335858","No"
"0xab733e0f60e62938748444a91a2d7f5243303ebf","-","7.030367631134118099","No"
"0x6d167189d0177a1b09deb68331296bc745993ce2","-","7.028891013160360577","No"
"0x2a9e6c6aca248dca83a8fb5c1f19de79c522da65","-","7.000008","No"
"0x68cd8881be0dafd4c2d2fb038a890f9ffbe6bc9f","-","6.896174235672998815","No"
"0xe5c51902f5f28f14682cdbc10ac404a50023bdd6","-","6.8871948059730495","No"
"0x3a3ca14407448d5858d928546ca21e475f46f0c0","-","6.865621027748531942","No"
"0x60363012ff3f71fec7f133f04728b7c0e5ec3c8a","-","6.858655891592363627","No"
"0x33b48c006e08b90d1b561422e6753a79507e8f29","-","6.833805577730476774","No"
"0xa0214de011631d745d19f6b2a2bb30b1956dbd3f","-","6.694289574135126008","No"
"0x3e89a9592f0246033f59ba8a755062201d45fecd","-","6.609307818878433865","No"
"0x0a9415df6f5acf6e1c526e1e7650825dbf4bb699","-","6.602555818137002672","No"
"0x08cbfa1d393020747120e8e7aebb1fcd33fad32a","-","6.562071363258518332","No"
"0xa518bb93632eb41b92d52e616862a088d02d78a6","-","6.535539928172207132","No"
"0x6431abfaae5d3f7cb331fd604bf28e08f7e64a2c","-","6.338984541468816529","No"
"0xf01390d612c5d5001c84e3049f364ef7f383c413","-","6.257942102931714733","No"
"0x1924d7fab80d0623f0836cbf5258a7fa734ee9d9","-","6.151668918580777774","No"
"0xf9e405db3fa9cfa27332f911a098db01678cc2de","-","6.135527962116525934","No"
"0xb69ca6d2fb435318800f267dd217d64fa4be137e","-","6.017822502410534777","No"
"0xce87b45a6b54d7f5bcf8270ab27c0582c479dd8b","-","6.008189895285161652","No"
"0xd668b653e3dbf145097014f1fd14d78d4df174f0","-","5.97230979074175924","No"
"0xd4ae88767ad79d5ee42c7563189b13cb0fefbe3e","-","5.958782748293498941","No"
"0x8c11e3af9c1d8718c40c51d4ff0958afcf77fd71","-","5.883370753679795325","No"
"0xcb73f6e9591cad8b35cbb55b149c058f724774a3","-","5.839311147034054444","No"
"0x82738b0ebc1d667765cb9cdeb4a2a96da6e6a77a","-","5.825814785268466338","No"
"0x9cf13e0112db72a569c08fd47978cc8f348f4a2b","-","5.792502745864904276","No"
"0x6d07e4427f32eea1ff500f3b86b606f2162c9040","-","5.745253881609116324","No"
"0x69d49d32051c54939829a99db7daa3429049b50c","-","5.7176","No"
"0x8d67dcab623f2b10bb274f478745687bc37a14ff","-","5.709704428047914072","No"
"0x99a821d44f0ae1e9082a6aa805f77fed31d74e11","-","5.665190840408131791","No"
"0x82db59eecbe7ad4ebf81e3fadf17a10e74a3b8d8","-","5.5866960576630542","No"
"0x0bcb30ae6a56ded3dcbfa1f735a72f466e5d2043","-","5.57530621582478002","No"
"0xc6807ba1d89e6a0ba7e3c4b07bf763d9a9dcdf75","-","5.469987565327314976","No"
"0x83d85c9fe8f7860fc921857c590d8dac831b87de","-","5.300955929499607616","No"
"0xa344fc13ecda67367c0b611e2e0d7110beb6b38a","-","5.227793549650346975","No"
"0x85cde5d89657cc7bad1abe2a3a4eaa34d90db506","-","5.166100397424892941","No"
"0x9b87e1fd164e70e6fa8c7fbee5943c2532f7834b","-","5.076159","No"
"0x56d919e7b25aa42f3f8a4bc77b8982048f2e84b4","-","5.039985175470251565","No"
"0x14964e1647e2a16fded19b95cce5c71f43ca256c","-","5.02845937749689777","No"
"0x1478e798d383403729a94a3232c6df140390c6f4","-","5.006746643792082493","No"
"0x9696d9e4d7d1a3bfc1e7ca7e0ea3ab957f84f743","-","5.004866052086559972","No"
"0x27f33f5af3125c7488051134872e6e7a3c5a644a","-","5.004095045185700565","No"
"0x3857eae048c9dc04bfc0846b623a206d0144294a","-","5","No"
"0x8a9bcdc68d19e111663d6c986caf1da1eda1c304","-","4.992875491223217594","No"
"0x98a692316057e74b9297d53a61b4916d253c9ea6","-","4.991526265480849896","No"
